strategy,selected_threshold,dev_accuracy,dev_positive_precision,dev_positive_recall,dev_positive_f1,dev_no_precision,dev_no_recall,dev_no_f1,dev_macro_precision,dev_macro_recall,dev_macro_f1,dev_weighted_f1,dev_balanced_accuracy,dev_tp,dev_fp,dev_fn,dev_tn,test_accuracy,test_positive_precision,test_positive_recall,test_positive_f1,test_no_precision,test_no_recall,test_no_f1,test_macro_precision,test_macro_recall,test_macro_f1,test_weighted_f1,test_balanced_accuracy,test_tp,test_fp,test_fn,test_tn,test_rule_fn_recovered,test_all_yes
ensemble_mean,0.6836852431297302,0.813953488372093,1.0,0.7647058823529411,0.8666666666666666,0.5294117647058824,1.0,0.6923076923076924,0.7647058823529411,0.8823529411764706,0.7794871794871795,0.8301729278473464,0.8823529411764706,26,0,8,9,0.7906976744186046,0.9629629629629629,0.7647058823529411,0.8524590163934426,0.5,0.8888888888888888,0.64,0.7314814814814814,0.826797385620915,0.7462295081967213,0.8079908501715592,0.826797385620915,26,1,8,8,7,False
rule_or_bert,0.64037926197052,0.7906976744186046,0.8571428571428571,0.8823529411764706,0.8695652173913043,0.5,0.4444444444444444,0.47058823529411764,0.6785714285714286,0.6633986928104575,0.670076726342711,0.7860584071849165,0.6633986928104575,30,5,4,4,0.8372093023255814,0.9354838709677419,0.8529411764705882,0.8923076923076922,0.5833333333333334,0.7777777777777778,0.6666666666666666,0.7594086021505376,0.815359477124183,0.7794871794871794,0.8450805008944543,0.815359477124183,29,2,5,7,8,False
rule_and_bert,0.6836852431297302,0.6046511627906976,1.0,0.5,0.6666666666666666,0.34615384615384615,1.0,0.5142857142857142,0.6730769230769231,0.75,0.5904761904761904,0.6347729789590254,0.75,17,0,17,9,0.6511627906976745,1.0,0.5588235294117647,0.7169811320754718,0.375,1.0,0.5454545454545454,0.6875,0.7794117647058824,0.6312178387650086,0.6810802185966731,0.7794117647058824,19,0,15,9,0,False
rule_priority_with_bert_recall,0.64037926197052,0.7906976744186046,0.8571428571428571,0.8823529411764706,0.8695652173913043,0.5,0.4444444444444444,0.47058823529411764,0.6785714285714286,0.6633986928104575,0.670076726342711,0.7860584071849165,0.6633986928104575,30,5,4,4,0.8372093023255814,0.9354838709677419,0.8529411764705882,0.8923076923076922,0.5833333333333334,0.7777777777777778,0.6666666666666666,0.7594086021505376,0.815359477124183,0.7794871794871794,0.8450805008944543,0.815359477124183,29,2,5,7,8,False
bert_with_rule_veto,0.6836852431297302,0.7209302325581395,1.0,0.6470588235294118,0.7857142857142858,0.42857142857142855,1.0,0.6,0.7142857142857143,0.8235294117647058,0.6928571428571428,0.7468438538205981,0.8235294117647058,22,0,12,9,0.7441860465116279,0.96,0.7058823529411765,0.8135593220338982,0.4444444444444444,0.8888888888888888,0.5925925925925926,0.7022222222222222,0.7973856209150327,0.7030759573132455,0.7673104716857181,0.7973856209150327,24,1,10,8,7,False
bert_with_rule_veto_plus_topic_guard,0.20056363046169282,0.627906976744186,0.8461538461538461,0.6470588235294118,0.7333333333333334,0.29411764705882354,0.5555555555555556,0.3846153846153846,0.5701357466063348,0.6013071895424837,0.558974358974359,0.660345855694693,0.6013071895424837,22,4,12,5,0.7209302325581395,0.9230769230769231,0.7058823529411765,0.8000000000000002,0.4117647058823529,0.7777777777777778,0.5384615384615384,0.6674208144796381,0.7418300653594772,0.6692307692307693,0.7452593917710197,0.7418300653594772,24,2,10,7,5,False
