seed,selected_threshold,dev_accuracy,dev_positive_precision,dev_positive_recall,dev_positive_f1,dev_no_precision,dev_no_recall,dev_no_f1,dev_macro_precision,dev_macro_recall,dev_macro_f1,dev_weighted_f1,dev_balanced_accuracy,dev_tp,dev_fp,dev_fn,dev_tn,test_accuracy,test_positive_precision,test_positive_recall,test_positive_f1,test_no_precision,test_no_recall,test_no_f1,test_macro_precision,test_macro_recall,test_macro_f1,test_weighted_f1,test_balanced_accuracy,test_tp,test_fp,test_fn,test_tn,test_all_yes,rule_fn_recovered,bert_false_positive_total
20260621,0.555198073387146,0.7906976744186046,1.0,0.7352941176470589,0.8474576271186441,0.5,1.0,0.6666666666666666,0.75,0.8676470588235294,0.7570621468926554,0.8096176586519511,0.8676470588235294,25,0,9,9,0.7441860465116279,0.96,0.7058823529411765,0.8135593220338982,0.4444444444444444,0.8888888888888888,0.5925925925925926,0.7022222222222222,0.7973856209150327,0.7030759573132455,0.7673104716857181,0.7973856209150327,24,1,10,8,False,5,1
42,0.6774190068244934,0.7674418604651163,0.9615384615384616,0.7352941176470589,0.8333333333333333,0.47058823529411764,0.8888888888888888,0.6153846153846153,0.7160633484162896,0.8120915032679739,0.7243589743589742,0.787716159809183,0.8120915032679739,25,1,9,8,0.7906976744186046,0.9629629629629629,0.7647058823529411,0.8524590163934426,0.5,0.8888888888888888,0.64,0.7314814814814814,0.826797385620915,0.7462295081967213,0.8079908501715592,0.826797385620915,26,1,8,8,False,6,1
1234,0.5483112931251526,0.813953488372093,0.90625,0.8529411764705882,0.8787878787878787,0.5454545454545454,0.6666666666666666,0.6,0.7258522727272727,0.7598039215686274,0.7393939393939393,0.8204369274136715,0.7598039215686274,29,3,5,6,0.813953488372093,0.8611111111111112,0.9117647058823529,0.8857142857142858,0.5714285714285714,0.4444444444444444,0.5,0.7162698412698413,0.6781045751633987,0.6928571428571428,0.804983388704319,0.6781045751633987,31,5,3,4,False,11,5
2025,0.7450369000434875,0.8604651162790697,1.0,0.8235294117647058,0.9032258064516129,0.6,1.0,0.7499999999999999,0.8,0.9117647058823529,0.8266129032258064,0.8711552888222054,0.9117647058823529,28,0,6,9,0.8372093023255814,0.9655172413793104,0.8235294117647058,0.888888888888889,0.5714285714285714,0.8888888888888888,0.6956521739130435,0.7684729064039408,0.8562091503267973,0.7922705314009661,0.8484439950567353,0.8562091503267973,28,1,6,8,False,8,1
3407,0.882965087890625,0.7906976744186046,1.0,0.7352941176470589,0.8474576271186441,0.5,1.0,0.6666666666666666,0.75,0.8676470588235294,0.7570621468926554,0.8096176586519511,0.8676470588235294,25,0,9,9,0.8372093023255814,0.9655172413793104,0.8235294117647058,0.888888888888889,0.5714285714285714,0.8888888888888888,0.6956521739130435,0.7684729064039408,0.8562091503267973,0.7922705314009661,0.8484439950567353,0.8562091503267973,28,1,6,8,False,8,1
